1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
X	chrX
Y	chrY
GL456210.1	chr1_GL456210_random
GL456211.1	chr1_GL456211_random
GL456212.1	chr1_GL456212_random
GL456213.1	chr1_GL456213_random
GL456221.1	chr1_GL456221_random
GL456216.1	chr4_GL456216_random
GL456350.1	chr4_GL456350_random
JH584292.1	chr4_JH584292_random
JH584293.1	chr4_JH584293_random
JH584294.1	chr4_JH584294_random
JH584295.1	chr4_JH584295_random
GL456354.1	chr5_GL456354_random
JH584296.1	chr5_JH584296_random
JH584297.1	chr5_JH584297_random
JH584298.1	chr5_JH584298_random
JH584299.1	chr5_JH584299_random
GL456219.1	chr7_GL456219_random
GL456233.1	chrX_GL456233_random
JH584300.1	chrY_JH584300_random
JH584301.1	chrY_JH584301_random
JH584302.1	chrY_JH584302_random
JH584303.1	chrY_JH584303_random
GL456239.1	chrUn_GL456239
GL456359.1	chrUn_GL456359
GL456360.1	chrUn_GL456360
GL456366.1	chrUn_GL456366
GL456367.1	chrUn_GL456367
GL456368.1	chrUn_GL456368
GL456370.1	chrUn_GL456370
GL456372.1	chrUn_GL456372
GL456378.1	chrUn_GL456378
GL456379.1	chrUn_GL456379
GL456381.1	chrUn_GL456381
GL456382.1	chrUn_GL456382
GL456383.1	chrUn_GL456383
GL456385.1	chrUn_GL456385
GL456387.1	chrUn_GL456387
GL456389.1	chrUn_GL456389
GL456390.1	chrUn_GL456390
GL456392.1	chrUn_GL456392
GL456393.1	chrUn_GL456393
GL456394.1	chrUn_GL456394
GL456396.1	chrUn_GL456396
JH584304.1	chrUn_JH584304
KV575234.1	
KK082441.1	
KV575232.1	
KV575233.1	
KV575235.1	
KV575236.1	
KQ030484.1	
KZ289064.1	
KZ289065.1	
KZ289066.1	
JH792826.1	
KQ030485.1	
KQ030486.1	
KQ030487.1	
KQ030488.1	
KQ030489.1	
KZ289067.1	
KZ289068.1	
KZ289069.1	
KZ289070.1	
JH792827.1	
KV575237.1	
KK082442.1	
KK082443.1	
JH792828.1	
KV575238.1	
KV575239.1	
KV575240.1	
KB469738.3	
KQ030490.1	
KQ030491.1	
KZ289071.1	
KZ289072.1	
KZ289076.1	
KZ289073.1	
KZ289074.1	
KZ289075.1	
KZ289077.1	
KZ289078.1	
KZ289079.1	
KZ289080.1	
KZ289081.1	
KB469739.1	
KB469740.1	
KZ289082.1	
KZ289083.1	
KZ289084.1	
KQ030492.1	
KQ030493.2	
KV575241.1	
KZ289085.1	
KZ289086.1	
KB469741.2	
KB469742.1	
KZ289087.1	
KZ289088.1	
KZ289089.1	
JH792829.1	
KZ289090.1	
KZ289091.1	
JH792830.1	
KQ030494.1	
KV575242.1	
JH792831.2	
KQ030495.1	
KQ030496.1	
KQ030497.1	
KZ289092.1	
KZ289093.1	
KZ289094.1	
KZ289095.1	
JH792832.1	
JH792833.1	
JH792834.1	
GL456079.1	
GL456024.2	
GL456006.1	
GL456007.1	
GL456008.1	
GL456011.1	
GL456025.1	
GL456026.2	
GL456014.1	
GL456017.2	
GL456074.1	
JH584305.1	
GL456019.1	
JH584306.1	
JH584307.1	
JH584308.1	
JH584309.1	
JH590470.1	
GL456031.1	
GL456032.1	
GL456033.2	
GL456013.1	
GL455991.1	
GL455992.2	
GL455993.1	
GL455994.1	
GL455995.1	
GL455996.1	
GL455997.1	
GL455998.1	
GL455999.2	
GL456000.1	
GL456001.2	
JH584310.1	
JH584311.1	
JH584312.1	
JH584313.1	
JH584314.1	
GL456002.2	
GL456021.2	
GL456003.2	
GL456004.1	
GL456005.1	
JH584315.1	
GL456010.1	
GL456012.2	
GL456065.1	
GL456016.1	
GL456020.1	
GL456028.2	
GL456022.2	
GL455990.1	
GL456080.1	
GL456081.1	
GL456082.1	
GL455989.1	
GL456068.1	
JH584316.1	
JH584317.1	
JH584318.1	
GL456071.1	
GL456072.1	
GL456073.1	
JH584320.1	
JH584321.1	
JH584322.1	
GL456042.2	
GL456044.2	
GL456045.2	
GL456048.1	
GL456049.2	
JH584323.1	
GL456053.2	
JH584324.1	
JH584325.1	
JH584326.1	
GL456060.2	
JH584327.1	
JH584328.1	
GL456050.1	
GL456054.2	
JH584264.1	
JH584265.1	
JH584266.1	
JH584267.1	
GL456349.1	
GL456070.1	
GL456009.1	
GL456064.1	
GL456015.1	
GL456069.1	
JH584319.1	
GL456075.1	
GL456076.1	
GL456077.1	
JH584268.1	
JH584269.1	
GL456078.1	
JH584270.1	
MT	chrM
