NC_000067.6	chr1
NC_000068.7	chr2
NC_000069.6	chr3
NC_000070.6	chr4
NC_000071.6	chr5
NC_000072.6	chr6
NC_000073.6	chr7
NC_000074.6	chr8
NC_000075.6	chr9
NC_000076.6	chr10
NC_000077.6	chr11
NC_000078.6	chr12
NC_000079.6	chr13
NC_000080.6	chr14
NC_000081.6	chr15
NC_000082.6	chr16
NC_000083.6	chr17
NC_000084.6	chr18
NC_000085.6	chr19
NC_000086.7	chrX
NC_000087.7	chrY
NT_166280.1	chr1_GL456210_random
NT_166281.1	chr1_GL456211_random
NT_166282.1	chr1_GL456212_random
NT_166283.1	chr1_GL456213_random
NT_162750.1	chr1_GL456221_random
NT_166291.1	chr4_GL456216_random
NT_166434.1	chr4_GL456350_random
NT_187052.1	chr4_JH584292_random
NT_187053.1	chr4_JH584293_random
NT_187054.1	chr4_JH584294_random
NT_187055.1	chr4_JH584295_random
NT_166438.1	chr5_GL456354_random
NT_187056.1	chr5_JH584296_random
NT_187057.1	chr5_JH584297_random
NT_187058.1	chr5_JH584298_random
NT_187059.1	chr5_JH584299_random
NT_166307.1	chr7_GL456219_random
NT_165789.2	chrX_GL456233_random
NT_187060.1	chrY_JH584300_random
NT_187061.1	chrY_JH584301_random
NT_187062.1	chrY_JH584302_random
NT_187063.1	chrY_JH584303_random
NT_166338.1	chrUn_GL456239
NT_166443.1	chrUn_GL456359
NT_166444.1	chrUn_GL456360
NT_166450.1	chrUn_GL456366
NT_166451.1	chrUn_GL456367
NT_166452.1	chrUn_GL456368
NT_166454.1	chrUn_GL456370
NT_166456.1	chrUn_GL456372
NT_166462.1	chrUn_GL456378
NT_166463.1	chrUn_GL456379
NT_166465.1	chrUn_GL456381
NT_166466.1	chrUn_GL456382
NT_166467.1	chrUn_GL456383
NT_166469.1	chrUn_GL456385
NT_166471.1	chrUn_GL456387
NT_166473.1	chrUn_GL456389
NT_166474.1	chrUn_GL456390
NT_166476.1	chrUn_GL456392
NT_166477.1	chrUn_GL456393
NT_166478.1	chrUn_GL456394
NT_166480.1	chrUn_GL456396
NT_187064.1	chrUn_JH584304
NW_016097314.1	
NW_006763128.1	
NW_016097312.1	
NW_016097313.1	
NW_016097315.1	
NW_016097316.1	
NW_012132900.1	
NW_019168503.1	
NW_019168504.1	
NW_019168505.1	
NW_004058050.1	
NW_012132901.1	
NW_012132902.1	
NW_012132903.1	
NW_012132904.1	
NW_012132905.1	
NW_019168506.1	
NW_019168507.1	
NW_019168508.1	
NW_019168509.1	
NW_004058051.1	
NW_016097317.1	
NW_006763129.1	
NW_006763130.1	
NW_004058052.1	
NW_016097318.1	
NW_016097319.1	
NW_016097320.1	
NW_004450259.3	
NW_012132906.1	
NW_012132907.1	
NW_019168510.1	
NW_019168511.1	
NW_019168515.1	
NW_019168512.1	
NW_019168513.1	
NW_019168514.1	
NW_019168516.1	
NW_019168517.1	
NW_019168518.1	
NW_019168519.1	
NW_019168520.1	
NW_004450260.1	
NW_004450261.1	
NW_019168521.1	
NW_019168522.1	
NW_019168523.1	
NW_012132908.1	
NW_012132909.2	
NW_016097321.1	
NW_019168524.1	
NW_019168525.1	
NW_004450262.2	
NW_004450263.1	
NW_019168526.1	
NW_019168527.1	
NW_019168528.1	
NW_004058053.1	
NW_019168529.1	
NW_019168530.1	
NW_004058054.1	
NW_012132910.1	
NW_016097322.1	
NW_004058055.2	
NW_012132911.1	
NW_012132912.1	
NW_012132913.1	
NW_019168531.1	
NW_019168532.1	
NW_019168533.1	
NW_019168534.1	
NW_004058056.1	
NW_004058057.1	
NW_004058058.1	
NT_039697.1	
NT_039223.3	
NT_039248.1	
NT_039256.1	
NT_080257.1	
NT_109599.1	
NT_039373.1	
NT_039382.4	
NT_078572.1	
NT_114985.3	
NT_114988.1	
NT_187006.1	
NT_039614.1	
NT_187007.1	
NT_187008.1	
NT_187010.1	
NT_187011.1	
NT_187009.1	
NT_111920.1	
NT_039744.2	
NT_039747.4	
NT_039443.1	
NT_039192.2	
NT_039194.5	
NT_039198.1	
NT_039291.1	
NT_039334.1	
NT_039469.1	
NT_039470.1	
NT_078683.1	
NT_039594.3	
NT_039622.1	
NT_039634.4	
NT_187012.1	
NT_187013.1	
NT_187014.1	
NT_187015.1	
NT_187016.1	
NT_039666.2	
NT_039661.4	
NT_039739.2	
NT_099024.1	
NT_039195.1	
NT_187017.1	
NT_039296.1	
NT_039372.2	
NT_039367.1	
NT_039525.1	
NT_096797.1	
NT_039630.5	
NT_039662.3	
NT_039593.1	
NT_166394.1	
NT_166397.1	
NT_166400.1	
NT_095534.1	
NT_096355.1	
NT_187028.1	
NT_187029.1	
NT_187030.1	
NT_166396.1	
NT_166398.1	
NT_166399.1	
NT_187019.1	
NT_187020.1	
NT_187021.1	
NT_114257.4	
NT_166287.2	
NT_039247.2	
NT_039252.1	
NT_039257.4	
NT_187022.1	
NT_166299.2	
NT_187023.1	
NT_187024.1	
NT_187025.1	
NT_166317.2	
NT_187026.1	
NT_187027.1	
NT_080256.1	
NT_166305.2	
NT_187002.1	
NT_187003.1	
NT_187004.1	
NT_187005.1	
NT_166433.1	
NT_165784.1	
NT_109318.2	
NT_039292.1	
NT_078651.1	
NT_097336.1	
NT_187018.1	
NT_166293.1	
NT_166294.1	
NT_166295.1	
NT_186999.1	
NT_187000.1	
NT_166322.1	
NT_187001.1	
NC_005089.1	chrM
